,list
0,"['apple', 'Apple Inc. - Wikipedia', ""Apple is the largest technology company by revenue (totaling US$365.8 billion in 2021) and, as of June 2022, is the world's biggest company by market ..."", 'https://en.wikipedia.org/wiki/Apple_Inc.']"
1,"['apple', 'Apple - Wikipedia', 'An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the ...', 'https://en.wikipedia.org/wiki/Apple']"
2,"['apple', 'MacRumors: Apple News and Rumors', '३ घण्टा पहिले — Apple plans to introduce new 13-inch MacBook Air, 11-inch iPad Pro, and 12.9-inch iPad Pro models with OLED displays in 2024, according to ...', 'https://www.macrumors.com/']"
3,"['apple', 'Apple - Twitter', ""Cupertino, CA Joined September 2011. 0 Following · 8.8M Followers · Tweets · Tweets & replies · Media · Likes. @Apple hasn't Tweeted."", 'https://twitter.com/apple']"
4,"['apple', '@apple • Instagram photos and videos', '28.9m Followers, 9 Following, 1070 Posts - See Instagram photos and videos from @apple.', 'https://www.instagram.com/apple/']"
